Altium Designer Pick and Place Locations
D:\Altium Project\SD5_Keypad\SD5_Keypad\Project Outputs for SD5_Keypad\Pick Place for PCB_SD5_Keypad_v1.csv

========================================================================================================================
File Design Information:

Date:       13/11/25
Time:       10:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R19","10k/NC","TopLayer","R-0603-2","957.000","107.000","90","Resistor"
"R13","10k/NC","TopLayer","R-0603-2","899.000","107.000","270","Resistor"
"C8","0.1uF","TopLayer","C-0603-2","837.125","425.780","0",""
"C7","10uF","TopLayer","C-0603-2","838.125","373.780","0",""
"C14","10uF","TopLayer","C-0603-2","1710.228","118.110","90",""
"R38","0R","TopLayer","R-0603-2","2157.000","554.000","0","Resistor"
"R32","0R","TopLayer","R-0603-2","2147.000","736.000","0","Resistor"
"R27","0R","TopLayer","R-0603-2","2931.000","1055.000","90","Resistor"
"R21","10k","TopLayer","R-0603-2","667.000","106.000","90","Resistor"
"R20","10k","TopLayer","R-0603-2","841.000","106.000","90","Resistor"
"R18","10k/NC","TopLayer","R-0603-2","551.000","106.000","90","Resistor"
"R22","0R","TopLayer","R-0603-2","2844.000","915.000","0","Resistor"
"R16","10k","TopLayer","R-0603-2","927.000","347.000","90","Resistor"
"R15","10k/NC","TopLayer","R-0603-2","725.000","106.000","270","Resistor"
"R14","10k/NC","TopLayer","R-0603-2","783.000","106.000","270","Resistor"
"R12","10k","TopLayer","R-0603-2","609.000","106.000","270","Resistor"
"R10","0R","TopLayer","R-0603-2","2844.000","769.000","0","Resistor"
"R6","0R","TopLayer","R-0603-2","2935.000","606.000","270","Resistor"
"R4","22R","TopLayer","R-0603-2","2299.000","243.000","0","Resistor"
"R3","22R","TopLayer","R-0603-2","2297.000","344.000","0","Resistor"
"IC1","ESP32-S3-WROOM-1/NC","TopLayer","ESP32S3WROOM1N8R2","1117.606","872.488","90","Integrated Circuit"
"C9","1uF","TopLayer","C-0603-2","980.000","347.000","90",""
"P2","MHDR1X4/NC","TopLayer","HDR1X4","2530.000","295.000","270","Header, 4-Pin"
"Q5","A1015","TopLayer","SOT-23-V2","1385.787","1495.424","270","PNP SOT 23"
"Q9","BS138/NC","TopLayer","SOT-23-V2","2162.787","647.424","270","N-Channel MOSFET"
"Q8","BS138/NC","TopLayer","SOT-23-V2","2162.787","821.424","270","N-Channel MOSFET"
"R37","10k/NC","TopLayer","R-0603-2","2063.000","647.000","270","Resistor"
"R36","10k/NC","TopLayer","R-0603-2","2267.000","607.000","90","Resistor"
"R29","10k/NC","TopLayer","R-0603-2","2063.000","823.000","270","Resistor"
"R28","10k/NC","TopLayer","R-0603-2","2267.000","753.333","270","Resistor"
"R31","10k/NC","TopLayer","R-0603-2","2844.000","1036.000","0","Resistor"
"R30","220/NC","TopLayer","R-0603-2","2844.000","1085.000","0","Resistor"
"R26","10k/NC","TopLayer","R-0603-2","2844.000","967.000","0","Resistor"
"R24","220/NC","TopLayer","R-0603-2","2844.000","866.202","0","Resistor"
"R17","10k/NC","TopLayer","R-0603-2","2844.000","675.000","0","Resistor"
"R11","220/NC","TopLayer","R-0603-2","2844.000","723.000","0","Resistor"
"R9","10k/NC","TopLayer","R-0603-2","2844.000","622.000","0","Resistor"
"R8","220/NC","TopLayer","R-0603-2","2844.000","573.000","0","Resistor"
"Q7","8050/NC","TopLayer","SOT-23-V2","2700.787","1045.598","90",""
"Q6","8050/NC","TopLayer","SOT-23-V2","2700.787","899.591","90",""
"Q4","8050/NC","TopLayer","SOT-23-V2","2700.787","753.583","90",""
"Q3","8050/NC","TopLayer","SOT-23-V2","2700.787","607.576","90",""
"P3","BX-MX3.0-2-4PWZ/NC","TopLayer","CONN-TH_8P-P3.00_BX-MX3.0-2-4PZZ","2459.075","826.945","270",""
"TP5","M/NC","BottomLayer","TOUCH_PAD_-_9MM","433.071","177.165","0","WR-PHD 2.54 mm Angled Socket Header"
"TP6","3/NC","BottomLayer","TOUCH_PAD_-_9MM","1220.472","177.165","0","WR-PHD 2.54 mm Angled Socket Header"
"TP1","2/NC","BottomLayer","TOUCH_PAD_-_9MM","2007.874","177.165","0","WR-PHD 2.54 mm Angled Socket Header"
"TP2","1/NC","BottomLayer","TOUCH_PAD_-_9MM","2795.276","177.165","0","WR-PHD 2.54 mm Angled Socket Header"
"TP4","DN/NC","BottomLayer","TOUCH_PAD_-_9MM","255.905","1299.213","270","WR-PHD 2.54 mm Angled Socket Header"
"TP3","UP/NC","BottomLayer","TOUCH_PAD_-_9MM","2972.441","1299.213","90","WR-PHD 2.54 mm Angled Socket Header"
"R7","220","TopLayer","R-0603-2","2436.000","1476.000","0","Resistor"
"T1","TVS Diode","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","2433.898","1271.827","0",""
"R2","220","TopLayer","R-0603-2","1602.000","880.772","270","Resistor"
"R1","220","TopLayer","R-0603-2","1602.000","746.000","270","Resistor"
"Q2","8050","TopLayer","SOT-23-V2","1709.677","879.211","270","Q2SC1815"
"P1","VIBRA/NC","TopLayer","PAD_2.54","1951.000","596.000","270","WR-PHD 2.54 mm Angled Socket Header"
"D2","1N5819","TopLayer","SOD-123_L2.7-W1.7-LS3.8-RD","1895.653","879.785","180","Default Diode"
"D1","1N5819","TopLayer","SOD-123_L2.7-W1.7-LS3.8-RD","1895.653","745.194","180","Default Diode"
"U2","MPR121QR2","TopLayer","QFN-20_L3.0-W3.0-P0.40-BL","1513.846","134.784","180",""
"U1","LM1117-3.3V-800mA","TopLayer","SOT223-LM1117_-_duplicate","2128.000","1167.000","90","800mA Low-Dropout Linear Regulator"
"R23","220","TopLayer","R-0603-2","1269.685","1496.063","270","Resistor"
"R25","33R","TopLayer","R-0603-2","1496.890","1491.315","270","Resistor"
"R39","75k","TopLayer","R-0603-2","1391.299","132.779","270","Resistor"
"R5","10k","TopLayer","R-0603-2","1574.646","1491.315","90","Resistor"
"R35","2k2","TopLayer","R-0603-2","1449.000","291.000","270","Resistor"
"R34","2k2","TopLayer","R-0603-2","1597.000","309.973","180","Resistor"
"R33","10k","TopLayer","R-0603-2","1596.999","259.618","180","Resistor"
"Q1","8050","TopLayer","SOT-23-V2","1709.677","744.621","270",""
"P4","JP6/NC","TopLayer","JP6-D1T","717.716","1574.803","0","WR-PHD 2.54 mm Angled Socket Header"
"LED6","SK6812MINI-EA","TopLayer","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","2795.276","354.331","180",""
"LED5","SK6812MINI-EA","TopLayer","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","2007.874","354.331","180",""
"LED4","SK6812MINI-EA","TopLayer","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","1220.472","354.331","180",""
"LED3","SK6812MINI-EA","TopLayer","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","433.071","354.331","180",""
"LED2","SK6812MINI-EA","TopLayer","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","433.071","1299.213","180",""
"LED1","SK6812MINI-EA","TopLayer","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","2795.276","1299.213","180",""
"LCD1","LCD-N114-8P","BottomLayer","LCD-SMD_1.14IPS-LCD_-_8PIN","1595.690","1299.898","0",""
"Hole2","Hole","TopLayer","HOLE_2.6mm","236.063","826.945","180",""
"Hole1","Hole","TopLayer","HOLE_2.6mm","2991.968","826.945","90",""
"C11","0.1uF","TopLayer","C-0603-2","1333.000","132.779","270",""
"C10","0.1uF","TopLayer","C-0603-2","1652.401","1491.315","90",""
"C13","0.1uF","TopLayer","C-0603-2","1657.228","118.110","90",""
"C12","10uF","TopLayer","C-0603-2","1763.000","118.110","90",""
"C6","22uF","TopLayer","C-1206","1749.000","1486.000","90",""
"C5","22uF","TopLayer","C-1206","1856.000","1486.000","90",""
"C4","0.1uF","TopLayer","C-0603-2","836.125","317.780","0",""
"C3","10uF","TopLayer","C-0603-2","1948.819","1519.685","90",""
"C2","22uF","TopLayer","C-1206","2118.000","932.000","0",""
"C1","22uF","TopLayer","C-1206","2433.000","1406.000","180",""
"BUZZER1","2731Hz/NC","TopLayer","BUZ-SMD_4P-L8.5-W8.5-P8.50-TL","1758.000","1162.000","90",""
