"Comment","Description","Designator","Footprint","LibRef","Quantity","LCSC","MPN"
,,,,,,,
"22uF",,"C1, C2, C5, C6","C-1206","CN","4","C12891","CL31A226KAHNNNE"
"10uF",,"C3, C7, C12, C14","C-0603-2","CN","4","C19702","CL10A106KP8NNNC"
"0.1uF",,"C4, C8, C10, C11, C13","C-0603-2","CN","5","C14663","CC0603KRX7R9BB104"
"1uF",,"C9","C-0603-2","CN","1","C15849","CL10A105KB8NNNC"
"1N5819","Default Diode","D1, D2","SOD-123_L2.7-W1.7-LS3.8-RD","Diode SMD","2","C82544","1N5819HW-7-F"
"LCD-N114-8P",,"LCD1","LCD-SMD_1.14IPS-LCD - 8PIN","LCD-N114-8P","1","C262555","AFC07-S08FCA-00"
"SK6812MINI-EA",,"LED1, LED2, LED3, LED4, LED5, LED6","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA","SK6812MINI-EA","6","C5378731","SK6812MINI-EA"
"8050","[NoValue], Q2SC1815","Q1, Q2","SOT-23-V2","C1815","2","C111272","S8050"
"A1015","PNP SOT 23","Q5","SOT-23-V2","A1015","1","C545569","2SA1015"
"220","Resistor","R1, R2, R7, R23","R-0603-2","Res-SMD","4","C1226","0603WAJ0221T5E"
"22R","Resistor","R3, R4","R-0603-2","Res-SMD","2","C1203","0603WAJ0220T5E"
"10k","Resistor","R5, R12, R16, R20, R21, R33","R-0603-2","Res-SMD","6","C15401","0603WAJ0103T5E"
"0R","Resistor","R6, R10, R22, R27, R32, R38","R-0603-2","Res-SMD","6","C15402","0603WAJ0000T5E"
"33R","Resistor","R25","R-0603-2","Res-SMD","1","C23140","0603WAF330JT5E"
"2k2","Resistor","R34, R35","R-0603-2","Res-SMD","2","C4190","0603WAF2201T5E"
"75k","Resistor","R39","R-0603-2","Res-SMD","1","C18671","0603WAJ0753T5E"
"TVS Diode",,"T1","SMB_L4.6-W3.6-LS5.3-RD","TVS Diode","1","C10204","SMBJ5.0A"
"LM1117-3.3V-800mA","800mA Low-Dropout Linear Regulator","U1","SOT223-LM1117 - duplicate","LM1117","1","C9662","LM1117MPX-3.3/NOPB"
"MPR121QR2",,"U2","QFN-20_L3.0-W3.0-P0.40-BL","MPR121QR2","1","C91322","MPR121QR2"
